"","City","Category","Profit","Sales","Segment","Order Date","Sub-Category"
"1177","Los Angeles","Office Supplies","$5","$12","Home Office",2014-02-12,"Labels"
"1178","Rockville","Furniture","$52","$173","Consumer",2016-02-12,"Chairs"
"1179","Rockville","Technology","$45","$180","Consumer",2016-02-12,"Phones"
"1180","Houston","Technology","$65","$259","Home Office",2016-02-04,"Accessories"
"1181","Lakewood","Technology","$357","$1,323","Consumer",2014-02-06,"Phones"
"1182","Lakewood","Office Supplies","$1","$4","Consumer",2014-02-06,"Art"
"1183","Jacksonville","Office Supplies","$7","$22","Consumer",2017-02-01,"Envelopes"
"1184","Jacksonville","Technology","$1","$8","Consumer",2017-02-01,"Phones"
"1185","Seattle","Office Supplies","$4","$12","Corporate",2014-02-11,"Binders"
"1186","Seattle","Office Supplies","$10","$486","Corporate",2014-02-11,"Storage"
"1187","Seattle","Office Supplies","$12","$26","Corporate",2014-02-11,"Paper"
"1188","Seattle","Office Supplies","$53","$198","Corporate",2014-02-11,"Storage"
"1189","Los Angeles","Office Supplies","$22","$82","Home Office",2017-02-02,"Appliances"
"1190","Los Angeles","Technology","$67","$890","Home Office",2017-02-02,"Phones"
"1191","Los Angeles","Furniture","$89","$892","Home Office",2017-02-02,"Chairs"
"1192","Los Angeles","Office Supplies","$110","$224","Home Office",2017-02-02,"Paper"
"1193","Los Angeles","Office Supplies","$11","$23","Home Office",2017-02-02,"Paper"
"1194","Coral Springs","Office Supplies","$5","$16","Corporate",2015-02-09,"Paper"
"1195","Coral Springs","Furniture","$3","$16","Corporate",2015-02-09,"Furnishings"
"1196","Coral Springs","Office Supplies","$2","$25","Corporate",2015-02-09,"Storage"
"1197","Coral Springs","Furniture","-$2","$56","Corporate",2015-02-09,"Furnishings"
"1198","Houston","Technology","$65","$432","Consumer",2016-02-04,"Accessories"
"1199","Houston","Furniture","-$4","$96","Consumer",2016-02-04,"Chairs"
"1200","Houston","Office Supplies","-$1,851","$1,089","Consumer",2016-02-04,"Binders"
"1201","Denver","Furniture","$41","$544","Corporate",2016-02-07,"Chairs"
"1202","Denver","Office Supplies","-$1","$2","Corporate",2016-02-07,"Binders"
"1203","Denver","Furniture","$11","$854","Corporate",2016-02-07,"Chairs"
"1204","Denver","Office Supplies","$0","$594","Corporate",2016-02-07,"Storage"
"1205","Denver","Office Supplies","-$34","$338","Corporate",2016-02-07,"Storage"
"1206","Charlotte","Technology","$17","$272","Consumer",2017-02-08,"Phones"
"1207","New York City","Office Supplies","$3","$11","Corporate",2016-02-07,"Storage"
"1208","New York City","Office Supplies","$3","$9","Corporate",2016-02-07,"Binders"
"1209","New York City","Office Supplies","$7","$14","Corporate",2016-02-07,"Fasteners"
"1210","New York City","Office Supplies","$10","$42","Corporate",2016-02-07,"Art"
"1211","New York City","Office Supplies","$3","$9","Corporate",2016-02-07,"Binders"
"1212","New York City","Furniture","$22","$579","Corporate",2016-02-07,"Bookcases"
"1213","Philadelphia","Furniture","-$48","$141","Corporate",2017-02-09,"Chairs"
"1214","Philadelphia","Office Supplies","-$2","$3","Corporate",2017-02-09,"Binders"
"1215","Philadelphia","Office Supplies","-$4","$5","Corporate",2017-02-09,"Binders"
"1216","Philadelphia","Office Supplies","$2","$5","Corporate",2017-02-09,"Art"
"1217","Philadelphia","Technology","$29","$96","Corporate",2017-02-09,"Accessories"
"1218","Philadelphia","Furniture","$2","$17","Corporate",2017-02-09,"Furnishings"
"1219","Philadelphia","Technology","$65","$259","Corporate",2017-02-09,"Accessories"
"1220","Philadelphia","Technology","-$386","$1,932","Corporate",2017-02-09,"Phones"
"1221","Los Angeles","Office Supplies","$45","$250","Home Office",2014-02-07,"Storage"
"1222","Los Angeles","Technology","$29","$256","Home Office",2014-02-07,"Phones"
"1223","New York City","Furniture","$20","$114","Consumer",2016-02-12,"Furnishings"
"1224","New York City","Technology","$34","$78","Consumer",2016-02-12,"Accessories"
"1225","New York City","Office Supplies","$1","$2","Consumer",2016-02-12,"Binders"
"1226","New York City","Office Supplies","$20","$41","Consumer",2016-02-12,"Paper"
"1227","New York City","Office Supplies","$4","$183","Consumer",2016-02-12,"Storage"
"1228","New York City","Office Supplies","$12","$194","Consumer",2016-02-12,"Storage"
"1229","Los Angeles","Office Supplies","$7","$15","Consumer",2017-02-11,"Envelopes"
"1230","Los Angeles","Furniture","$3","$9","Consumer",2017-02-11,"Furnishings"
"1231","Los Angeles","Office Supplies","$2","$6","Consumer",2017-02-11,"Art"
"1232","Buffalo","Office Supplies","$1","$3","Consumer",2015-02-10,"Art"
"1233","Buffalo","Office Supplies","$36","$80","Consumer",2015-02-10,"Envelopes"
"1234","Cincinnati","Technology","$70","$840","Corporate",2016-02-05,"Copiers"
"1235","Boynton Beach","Furniture","$14","$48","Consumer",2016-02-10,"Furnishings"
"1236","Boynton Beach","Office Supplies","-$30","$37","Consumer",2016-02-10,"Binders"
"1237","Boynton Beach","Furniture","$0","$64","Consumer",2016-02-10,"Furnishings"
"1238","Boynton Beach","Furniture","$41","$165","Consumer",2016-02-10,"Furnishings"
"1239","Seattle","Furniture","$5","$12","Consumer",2014-02-08,"Furnishings"
"1240","Seattle","Office Supplies","$11","$41","Consumer",2014-02-08,"Art"
"1241","Seattle","Office Supplies","$11","$23","Consumer",2014-02-08,"Fasteners"
"1242","New York City","Technology","$6","$22","Home Office",2016-02-08,"Phones"
"1243","New York City","Office Supplies","$124","$398","Consumer",2016-02-02,"Binders"
"1244","New York City","Office Supplies","$4","$9","Consumer",2016-02-02,"Fasteners"
"1245","Gulfport","Office Supplies","$24","$49","Consumer",2017-02-05,"Envelopes"
"1246","Fresno","Furniture","$96","$765","Consumer",2014-02-12,"Tables"
"1247","Fresno","Furniture","$135","$3,611","Consumer",2014-02-12,"Tables"
"1248","Fresno","Furniture","$12","$255","Consumer",2014-02-12,"Bookcases"
"1249","New York City","Office Supplies","$17","$39","Consumer",2017-02-12,"Art"
"1250","New York City","Furniture","$140","$1,142","Consumer",2017-02-12,"Chairs"
"1251","New York City","Office Supplies","$511","$1,705","Consumer",2017-02-12,"Appliances"
"1252","New York City","Office Supplies","$1","$3","Consumer",2017-02-12,"Art"
"1253","Milwaukee","Technology","$286","$1,100","Consumer",2015-02-07,"Phones"
"1254","Chester","Office Supplies","$1","$5","Home Office",2017-02-03,"Art"
"1255","Chester","Technology","-$8","$36","Home Office",2017-02-03,"Phones"
"1256","Chester","Furniture","$1","$7","Home Office",2017-02-03,"Furnishings"
"1257","Chester","Furniture","$12","$44","Home Office",2017-02-03,"Furnishings"
"1258","Charlotte","Office Supplies","-$20","$28","Home Office",2016-02-12,"Binders"
"1259","Charlotte","Office Supplies","-$47","$540","Home Office",2016-02-12,"Storage"
"1260","Charlotte","Technology","$77","$256","Home Office",2016-02-12,"Accessories"
"1261","Jacksonville","Technology","$108","$864","Consumer",2017-02-10,"Phones"
"1262","Greenville","Office Supplies","-$14","$18","Corporate",2016-02-10,"Binders"
"1263","Long Beach","Office Supplies","$6","$17","Consumer",2017-02-07,"Binders"
"1264","La Porte","Technology","$19","$70","Consumer",2016-02-10,"Phones"
"1265","La Porte","Furniture","$11","$42","Consumer",2016-02-10,"Furnishings"
"1266","San Francisco","Office Supplies","$2","$7","Consumer",2017-02-09,"Art"
"1267","Los Angeles","Office Supplies","$41","$143","Corporate",2014-02-12,"Storage"
"1268","Los Angeles","Furniture","$18","$292","Corporate",2014-02-12,"Chairs"
"1269","Louisville","Furniture","$4","$29","Corporate",2017-02-09,"Furnishings"
"1270","Florence","Office Supplies","$6","$12","Consumer",2017-02-06,"Paper"
"1271","Chicago","Office Supplies","-$13","$102","Corporate",2016-02-04,"Storage"
"1272","Chicago","Office Supplies","-$127","$49","Corporate",2016-02-04,"Appliances"
"1273","Chicago","Office Supplies","-$67","$45","Corporate",2016-02-04,"Binders"
"1274","Fort Worth","Office Supplies","$4","$10","Consumer",2016-02-05,"Paper"
"1275","Fort Worth","Furniture","-$89","$388","Consumer",2016-02-05,"Chairs"
"1276","Fort Worth","Office Supplies","$5","$14","Consumer",2016-02-05,"Paper"
"1277","Fort Worth","Technology","-$7","$64","Consumer",2016-02-05,"Accessories"
"1278","Houston","Office Supplies","$5","$86","Consumer",2016-02-05,"Art"
"1279","Macon","Technology","$13","$33","Corporate",2014-02-09,"Accessories"
"1280","Macon","Technology","$30","$84","Corporate",2014-02-09,"Accessories"
"1281","Cedar Rapids","Technology","$81","$278","Consumer",2016-02-09,"Phones"
"1282","Jacksonville","Office Supplies","$5","$15","Consumer",2017-02-04,"Labels"
"1283","Jacksonville","Office Supplies","-$13","$17","Consumer",2017-02-04,"Binders"
"1284","Jacksonville","Office Supplies","$88","$252","Consumer",2017-02-04,"Paper"
"1285","Austin","Office Supplies","-$5","$3","Consumer",2015-02-12,"Binders"
"1286","Providence","Office Supplies","$1","$15","Consumer",2016-02-06,"Storage"
"1287","New York City","Office Supplies","$4","$15","Home Office",2015-02-07,"Art"
"1288","New York City","Furniture","$11","$40","Corporate",2016-02-11,"Furnishings"
"1289","New York City","Office Supplies","$4","$12","Corporate",2016-02-11,"Binders"
"1290","New York City","Office Supplies","$7","$21","Corporate",2016-02-11,"Art"
"1291","San Francisco","Office Supplies","$4","$13","Home Office",2016-02-11,"Binders"
"1292","San Francisco","Office Supplies","$16","$32","Home Office",2016-02-11,"Paper"
"1293","San Diego","Office Supplies","$9","$33","Consumer",2015-02-08,"Supplies"
"1294","San Diego","Office Supplies","$53","$114","Consumer",2015-02-08,"Paper"
"1295","San Diego","Office Supplies","$1","$3","Consumer",2015-02-08,"Labels"
"1296","Pueblo","Office Supplies","$85","$846","Consumer",2015-02-05,"Appliances"
"1297","Fairfield","Office Supplies","$5","$14","Corporate",2017-02-12,"Binders"
"1298","Fairfield","Office Supplies","$6","$21","Corporate",2017-02-12,"Binders"
"1299","Saint Paul","Technology","$2","$115","Corporate",2016-02-12,"Phones"
"1300","San Francisco","Office Supplies","$7","$27","Consumer",2015-02-10,"Storage"
"1301","Springfield","Furniture","$166","$573","Consumer",2016-02-12,"Furnishings"
"1302","Springfield","Furniture","$83","$286","Consumer",2016-02-12,"Furnishings"
"1303","Arlington","Furniture","$4","$62","Home Office",2015-02-09,"Bookcases"
"1304","Columbus","Furniture","$6","$24","Consumer",2017-02-07,"Furnishings"
"1305","Columbus","Technology","$78","$288","Consumer",2017-02-07,"Phones"
"1306","Houston","Technology","$52","$420","Consumer",2016-02-07,"Phones"
"1307","Pasadena","Office Supplies","$22","$47","Consumer",2016-02-06,"Paper"
"1308","Pasadena","Office Supplies","$6","$18","Consumer",2016-02-06,"Binders"
"1309","Pasadena","Office Supplies","$6","$22","Consumer",2016-02-06,"Appliances"
"1310","Pasadena","Office Supplies","$10","$162","Consumer",2016-02-06,"Storage"
"1311","Pasadena","Furniture","-$8","$162","Consumer",2016-02-06,"Chairs"
"1312","Lawrence","Office Supplies","$2","$4","Consumer",2016-02-12,"Labels"
"1313","Lawrence","Office Supplies","$56","$122","Consumer",2016-02-12,"Labels"
"1314","Columbus","Furniture","-$13","$155","Consumer",2016-02-09,"Chairs"
"1315","Los Angeles","Office Supplies","$19","$39","Corporate",2016-02-12,"Paper"
"1316","Los Angeles","Furniture","$63","$184","Corporate",2016-02-12,"Furnishings"
"1317","Los Angeles","Office Supplies","$29","$579","Corporate",2016-02-12,"Supplies"
"1318","Philadelphia","Technology","$3","$14","Consumer",2017-02-12,"Accessories"
"1319","Deltona","Technology","$72","$576","Corporate",2014-02-07,"Phones"
"1320","Deltona","Office Supplies","-$4","$5","Corporate",2014-02-07,"Binders"
"1321","Cincinnati","Office Supplies","-$4","$5","Consumer",2017-02-02,"Binders"
"1322","Cincinnati","Office Supplies","$36","$286","Consumer",2017-02-02,"Storage"
"1323","Murray","Office Supplies","$20","$73","Consumer",2017-02-03,"Appliances"
"1324","Wilmington","Office Supplies","$4","$11","Consumer",2017-02-10,"Paper"
"1325","Lawrence","Office Supplies","$12","$46","Corporate",2014-02-09,"Storage"
"1326","Chicago","Office Supplies","-$31","$17","Consumer",2014-02-05,"Binders"
"1327","Philadelphia","Furniture","$5","$51","Home Office",2015-02-06,"Furnishings"
"1328","Norwich","Office Supplies","$6","$11","Corporate",2016-02-03,"Paper"
"1329","San Francisco","Office Supplies","$26","$88","Home Office",2017-02-10,"Art"
"1330","San Francisco","Furniture","$16","$37","Consumer",2016-02-05,"Furnishings"
"1331","Lorain","Technology","-$1","$3","Home Office",2017-02-06,"Phones"
"1332","Lorain","Office Supplies","$2","$27","Home Office",2017-02-06,"Storage"
"1333","Dallas","Office Supplies","-$2","$1","Consumer",2014-02-02,"Binders"
"1334","Dallas","Office Supplies","-$14","$8","Consumer",2014-02-02,"Appliances"
"1335","Los Angeles","Office Supplies","$53","$141","Home Office",2014-02-05,"Binders"
"1336","Middletown","Office Supplies","$0","$553","Consumer",2016-02-05,"Storage"
"1337","Los Angeles","Furniture","$7","$25","Consumer",2017-02-04,"Furnishings"
"1338","New York City","Furniture","$8","$30","Consumer",2017-02-03,"Furnishings"
"1339","New York City","Technology","$176","$678","Consumer",2017-02-03,"Phones"
"1340","New York City","Office Supplies","$36","$75","Consumer",2017-02-03,"Paper"
"1341","Jacksonville","Technology","-$28","$696","Corporate",2017-02-01,"Machines"
"1342","Jacksonville","Office Supplies","-$13","$16","Corporate",2017-02-01,"Binders"
"1343","Jacksonville","Office Supplies","-$21","$29","Corporate",2017-02-01,"Binders"
"1344","Freeport","Office Supplies","$14","$48","Consumer",2015-02-05,"Art"
"1345","Freeport","Office Supplies","$6","$13","Consumer",2015-02-05,"Labels"
"1346","Lakeville","Office Supplies","$37","$94","Consumer",2014-02-03,"Appliances"
"1347","Lakeville","Office Supplies","$24","$47","Consumer",2014-02-03,"Paper"
"1348","Lakeville","Office Supplies","$6","$20","Consumer",2014-02-03,"Art"
"1349","Lakeville","Office Supplies","$25","$53","Consumer",2014-02-03,"Binders"
"1350","Lakeville","Office Supplies","$17","$36","Consumer",2014-02-03,"Binders"
"1351","Evanston","Furniture","-$70","$258","Consumer",2014-02-10,"Chairs"
"1352","Arlington","Office Supplies","$8","$31","Corporate",2016-02-03,"Storage"
"1353","San Francisco","Technology","$21","$184","Corporate",2017-02-05,"Phones"
"1354","San Francisco","Office Supplies","$8","$18","Corporate",2017-02-05,"Paper"
"1355","San Francisco","Furniture","$11","$301","Corporate",2017-02-05,"Tables"
"1356","Houston","Office Supplies","-$44","$221","Consumer",2014-02-07,"Storage"
"1357","Houston","Office Supplies","-$35","$281","Consumer",2014-02-07,"Storage"
"1358","Louisville","Office Supplies","$36","$79","Consumer",2016-02-05,"Paper"
"1359","Fort Worth","Furniture","-$1","$2","Consumer",2017-02-04,"Furnishings"
"1360","Los Angeles","Furniture","$0","$146","Consumer",2014-02-09,"Chairs"
"1361","Philadelphia","Office Supplies","$9","$123","Corporate",2017-02-10,"Art"
"1362","Philadelphia","Office Supplies","$7","$24","Corporate",2017-02-10,"Paper"
"1363","Philadelphia","Technology","-$57","$310","Corporate",2017-02-10,"Phones"
"1364","Tucson","Office Supplies","-$26","$38","Corporate",2017-02-11,"Binders"
"1365","Tucson","Technology","-$64","$96","Corporate",2017-02-11,"Machines"
"1366","Tucson","Technology","-$36","$240","Corporate",2017-02-11,"Accessories"
"1367","Tucson","Technology","$15","$202","Corporate",2017-02-11,"Phones"
"1368","Tucson","Furniture","-$146","$899","Corporate",2017-02-11,"Chairs"
"1369","Pico Rivera","Furniture","$63","$146","Home Office",2017-02-07,"Furnishings"
"1370","Colorado Springs","Furniture","-$787","$590","Consumer",2015-02-12,"Bookcases"
"1371","Colorado Springs","Office Supplies","$2","$14","Consumer",2015-02-12,"Art"
"1372","Clinton","Technology","$5","$49","Home Office",2017-02-03,"Accessories"
"1373","Vallejo","Office Supplies","$15","$30","Consumer",2014-02-04,"Labels"
"1374","Vallejo","Office Supplies","$6","$17","Consumer",2014-02-04,"Binders"
"1375","Provo","Furniture","$119","$913","Consumer",2015-02-09,"Tables"
"1376","Pleasant Grove","Office Supplies","$305","$1,090","Consumer",2014-02-08,"Appliances"
"1377","Pleasant Grove","Office Supplies","$219","$448","Consumer",2014-02-08,"Paper"
"1378","Pleasant Grove","Office Supplies","$4","$16","Consumer",2014-02-08,"Art"
"1379","Pleasant Grove","Technology","$35","$400","Consumer",2014-02-08,"Phones"
"1380","Pleasant Grove","Office Supplies","$8","$159","Consumer",2014-02-08,"Storage"
"1381","Pleasant Grove","Office Supplies","$5","$13","Consumer",2014-02-08,"Binders"
"1382","Aurora","Furniture","-$90","$84","Home Office",2016-02-09,"Furnishings"
"1383","Smyrna","Office Supplies","$2","$81","Home Office",2016-02-02,"Storage"
"1384","Smyrna","Office Supplies","$171","$349","Home Office",2016-02-02,"Paper"
"1385","Smyrna","Office Supplies","$0","$9","Home Office",2016-02-02,"Fasteners"
"1386","Smyrna","Furniture","$7","$19","Home Office",2016-02-02,"Furnishings"
"1387","Smyrna","Furniture","$53","$240","Home Office",2016-02-02,"Bookcases"
"1388","Smyrna","Office Supplies","$79","$168","Home Office",2016-02-02,"Envelopes"
"1389","Smyrna","Technology","$28","$105","Home Office",2016-02-02,"Phones"
"1390","Smyrna","Technology","$126","$485","Home Office",2016-02-02,"Phones"
"1391","Smyrna","Office Supplies","$60","$123","Home Office",2016-02-02,"Paper"
"1392","Smyrna","Office Supplies","$2","$154","Home Office",2016-02-02,"Storage"
"1393","Smyrna","Office Supplies","$161","$342","Home Office",2016-02-02,"Paper"
"1394","Burlington","Office Supplies","$2","$10","Corporate",2017-02-07,"Art"
"1395","Aurora","Furniture","-$431","$652","Corporate",2017-02-10,"Tables"
"1396","Aurora","Furniture","-$43","$67","Corporate",2017-02-10,"Tables"
"1397","New York City","Office Supplies","$6","$17","Consumer",2016-02-11,"Binders"
"1398","New York City","Office Supplies","$6","$12","Consumer",2016-02-11,"Paper"
"1399","New York City","Technology","$11","$88","Consumer",2016-02-11,"Accessories"
"1400","New York City","Office Supplies","$3","$6","Consumer",2016-02-11,"Paper"
"1401","Salem","Technology","$6","$22","Home Office",2016-02-11,"Phones"
"1402","Salem","Office Supplies","$118","$252","Home Office",2016-02-11,"Envelopes"
"1403","Columbus","Furniture","-$58","$205","Home Office",2016-02-04,"Tables"
"1404","Columbus","Office Supplies","$147","$419","Home Office",2016-02-04,"Paper"
"1405","Philadelphia","Office Supplies","-$2","$10","Home Office",2014-02-04,"Supplies"
"1406","Philadelphia","Furniture","-$36","$155","Home Office",2014-02-04,"Tables"
"1407","Philadelphia","Technology",NA,NA,NA,2014-02-04,NA
"1408","New York City","Office Supplies","$20","$75","Consumer",2016-02-09,"Art"
"1409","New York City","Furniture","$10","$40","Consumer",2016-02-09,"Furnishings"
"1410","Phoenix","Furniture","-$204","$393","Consumer",2016-02-09,"Tables"
"1411","Grand Prairie","Office Supplies","$9","$24","Home Office",2017-02-11,"Labels"
"1412","New York City","Furniture","$73","$408","Corporate",2016-02-07,"Chairs"
"1413","New York City","Furniture","$15","$165","Corporate",2016-02-07,"Furnishings"
"1414","New York City","Office Supplies","$109","$335","Consumer",2014-02-06,"Binders"
"1415","Costa Mesa","Technology","$26","$240","Home Office",2017-02-01,"Accessories"
"1416","Costa Mesa","Furniture","$13","$38","Home Office",2017-02-01,"Furnishings"
"1417","Houston","Technology","$118","$946","Corporate",2015-02-09,"Phones"
"1418","Houston","Technology","$32","$151","Corporate",2015-02-09,"Accessories"
"1419","Houston","Furniture","-$1","$5","Corporate",2015-02-09,"Furnishings"
"1420","Mesa","Office Supplies","$31","$86","Corporate",2015-02-09,"Paper"
"1421","Mesa","Office Supplies","-$48","$73","Corporate",2015-02-09,"Binders"
"1422","Mesa","Office Supplies","$14","$61","Corporate",2015-02-09,"Appliances"
"1423","Mesa","Office Supplies","-$59","$77","Corporate",2015-02-09,"Binders"
"1424","Mesa","Office Supplies","-$1","$120","Corporate",2015-02-09,"Storage"
"1425","Mesa","Technology","$23","$264","Corporate",2015-02-09,"Phones"
"1426","Mesa","Office Supplies","-$86","$364","Corporate",2015-02-09,"Storage"
"1427","Salinas","Office Supplies","$3","$10","Corporate",2015-02-10,"Binders"
"1428","Salinas","Office Supplies","$7","$15","Corporate",2015-02-10,"Envelopes"
"1429","Salinas","Office Supplies","$9","$30","Corporate",2015-02-10,"Binders"
"1430","Salinas","Office Supplies","$197","$427","Corporate",2015-02-10,"Labels"
"1431","Columbus","Technology","-$40","$221","Consumer",2017-02-11,"Phones"
"1432","Florence","Office Supplies","$75","$153","Consumer",2014-02-12,"Binders"
"1433","Florence","Office Supplies","$2","$7","Consumer",2014-02-12,"Supplies"
"1434","Florence","Furniture","$164","$1,820","Consumer",2014-02-12,"Chairs"
"1435","Seattle","Office Supplies","$16","$34","Consumer",2016-02-12,"Paper"
"1436","Parma","Office Supplies","$11","$31","Consumer",2017-02-06,"Paper"
"1437","Parma","Office Supplies","$1","$5","Consumer",2017-02-06,"Art"
"1438","Amarillo","Technology","$43","$264","Consumer",2015-02-10,"Accessories"
"1439","Amarillo","Furniture","-$350","$2,453","Consumer",2015-02-10,"Chairs"
"1440","Providence","Office Supplies","$13","$30","Consumer",2017-02-04,"Binders"
"1441","Providence","Office Supplies","$18","$40","Consumer",2017-02-04,"Paper"
"1442","San Francisco","Office Supplies","$11","$37","Consumer",2017-02-12,"Binders"
"1443","Richmond","Office Supplies","$6","$14","Corporate",2017-02-08,"Paper"
"1444","Aurora","Office Supplies","$17","$139","Corporate",2015-02-10,"Storage"
"1445","Chicago","Technology","$148","$1,980","Consumer",2016-02-05,"Phones"
"1446","Chicago","Office Supplies","-$39","$165","Home Office",2017-02-06,"Storage"
"1447","Chicago","Furniture","-$87","$470","Home Office",2017-02-06,"Chairs"
"1448","Chicago","Technology","$6","$48","Home Office",2017-02-06,"Phones"
"1449","Philadelphia","Office Supplies","-$2","$3","Corporate",2014-02-04,"Binders"
"1450","Los Angeles","Technology","$11","$89","Corporate",2015-02-05,"Phones"
"1451","Phoenix","Office Supplies","-$1","$2","Consumer",2015-02-07,"Binders"
"1452","Mobile","Office Supplies","$35","$71","Corporate",2016-02-11,"Paper"
"1453","Mobile","Office Supplies","$46","$92","Corporate",2016-02-11,"Binders"
"1454","Mobile","Office Supplies","$17","$34","Corporate",2016-02-11,"Binders"
"1455","Mobile","Technology","$1,459","$3,040","Corporate",2016-02-11,"Machines"
"1456","Columbus","Office Supplies","$42","$91","Home Office",2017-02-06,"Binders"
"1457","Columbus","Furniture","$68","$453","Home Office",2017-02-06,"Tables"
"1458","New Bedford","Office Supplies","$23","$52","Corporate",2015-02-08,"Binders"
"1459","Irving","Office Supplies","$5","$16","Corporate",2016-02-09,"Labels"
"1460","Middletown","Furniture","$10","$27","Consumer",2014-02-05,"Furnishings"
"1461","Seattle","Office Supplies","$19","$55","Consumer",2015-02-12,"Binders"
"1462","Vineland","Furniture","-$31","$244","Consumer",2016-02-03,"Tables"
"1463","Pasadena","Technology","$44","$160","Corporate",2016-02-08,"Accessories"
"1464","Pasadena","Furniture","-$29","$1,025","Corporate",2016-02-08,"Chairs"
"1465","New York City","Office Supplies","$2","$4","Corporate",2016-02-12,"Fasteners"
"1466","Glendale","Furniture","-$3","$121","Consumer",2014-02-08,"Furnishings"
"1467","Glendale","Technology","-$11","$96","Consumer",2014-02-08,"Accessories"
"1468","Jacksonville","Technology","$32","$256","Home Office",2015-02-05,"Accessories"
"1469","Detroit","Furniture","$227","$873","Corporate",2017-02-12,"Chairs"
"1470","Detroit","Office Supplies","$20","$42","Corporate",2017-02-12,"Binders"
"1471","Detroit","Office Supplies","$6","$13","Corporate",2017-02-12,"Paper"
"1472","Philadelphia","Office Supplies","$1","$7","Corporate",2015-02-09,"Art"
"1473","Los Angeles","Office Supplies","$4","$9","Corporate",2017-02-07,"Labels"
"1474","Houston","Furniture","-$4","$7","Consumer",2015-02-12,"Furnishings"
"1475","Niagara Falls","Office Supplies","$5","$17","Home Office",2016-02-11,"Art"
"1476","Niagara Falls","Office Supplies","$6","$18","Home Office",2016-02-11,"Binders"
"1477","New York City","Office Supplies","$13","$29","Home Office",2017-02-03,"Labels"
"1478","Thomasville","Office Supplies","$6","$52","Consumer",2016-02-11,"Supplies"
"1479","Westminster","Technology","$2","$32","Consumer",2017-02-11,"Phones"
"1480","San Francisco","Office Supplies","$12","$26","Consumer",2016-02-12,"Paper"
"1481","San Francisco","Office Supplies","$20","$40","Consumer",2016-02-12,"Paper"
"1482","San Francisco","Office Supplies","$9","$34","Consumer",2016-02-12,"Storage"
"1483","Jackson","Office Supplies","$2","$10","Consumer",2017-02-08,"Art"
"1484","Jackson","Office Supplies","$1","$3","Consumer",2017-02-08,"Paper"
"1485","Seattle","Technology","$30","$177","Corporate",2016-02-10,"Accessories"
"1486","New York City","Office Supplies","$1","$4","Consumer",2014-02-11,"Fasteners"
"1487","Los Angeles","Technology","$106","$1,213","Home Office",2015-02-11,"Phones"
"1488","Los Angeles","Technology","$38","$90","Home Office",2015-02-11,"Accessories"
"1489","Los Angeles","Furniture","$17","$43","Home Office",2015-02-11,"Furnishings"
"1490","Philadelphia","Office Supplies","$2","$5","Consumer",2014-02-11,"Labels"
"1491","New York City","Office Supplies","$28","$63","Corporate",2017-02-04,"Envelopes"
"1492","New York City","Office Supplies","$3","$6","Corporate",2017-02-11,"Paper"
"1493","New York City","Furniture","$174","$977","Corporate",2017-02-11,"Chairs"
"1494","Vancouver","Furniture","$4","$10","Corporate",2017-02-10,"Furnishings"
"1495","Columbus","Office Supplies","$11","$40","Consumer",2014-02-12,"Art"
"1496","Coppell","Office Supplies","$3","$10","Consumer",2017-02-09,"Art"
"1497","Coppell","Office Supplies","$0","$17","Consumer",2017-02-09,"Storage"
"1498","Coppell","Office Supplies","$4","$13","Consumer",2017-02-09,"Art"
"1499","San Francisco","Office Supplies","$7","$18","Home Office",2016-02-10,"Binders"
"1500","Austin","Office Supplies","$6","$16","Consumer",2017-02-11,"Paper"
"1501","Austin","Office Supplies","$70","$223","Consumer",2017-02-11,"Paper"
"1502","Austin","Office Supplies","-$47","$540","Consumer",2017-02-11,"Storage"
"1503","Los Angeles","Technology","$3","$34","Home Office",2016-02-11,"Phones"
"1504","Los Angeles","Furniture","$3","$10","Home Office",2016-02-11,"Furnishings"
"1505","Los Angeles","Office Supplies","$3","$7","Home Office",2015-02-08,"Art"
"1506","Los Angeles","Furniture","-$176","$1,005","Home Office",2015-02-08,"Tables"
"1507","New York City","Office Supplies","$6","$18","Consumer",2017-02-12,"Binders"
"1508","Columbus","Technology","$190","$396","Consumer",2016-02-09,"Machines"
"1509","Omaha","Office Supplies","$16","$35","Home Office",2017-02-12,"Binders"
"1510","Los Angeles","Furniture","$3","$8","Consumer",2017-02-09,"Furnishings"
"1511","Pomona","Office Supplies","$112","$386","Corporate",2017-02-06,"Art"
"1512","Pomona","Office Supplies","$12","$36","Corporate",2017-02-06,"Art"
"1513","Dallas","Office Supplies","$13","$200","Consumer",2017-02-08,"Storage"
"1514","Dallas","Office Supplies","-$33","$21","Consumer",2017-02-08,"Binders"
"1515","Dallas","Office Supplies","-$11","$7","Consumer",2017-02-08,"Binders"
"1516","Philadelphia","Furniture","-$9","$64","Consumer",2017-02-12,"Chairs"
"1517","North Las Vegas","Furniture","$117","$1,670","Consumer",2017-02-12,"Tables"
"1518","Seattle","Office Supplies","$27","$84","Consumer",2014-02-02,"Binders"
"1519","Seattle","Office Supplies","$4","$13","Consumer",2014-02-02,"Binders"
"1520","San Francisco","Office Supplies","$8","$21","Corporate",2017-02-02,"Binders"
"1521","Chicago","Office Supplies","$2","$17","Home Office",2017-02-04,"Art"
"1522","Tucson","Furniture","$49","$206","Consumer",2015-02-12,"Furnishings"
