"","City","Category","Profit","Sales","Segment"
"1057","New York City","Office Supplies","$3","$9","Home Office"
"1058","San Diego","Office Supplies","$7","$20","Corporate"
"1059","San Diego","Office Supplies","$23","$66","Corporate"
"1060","Philadelphia","Office Supplies","$2","$4","Home Office"
"1061","Houston","Furniture","-$29","$108","Consumer"
"1062","Toledo","Office Supplies","$5","$45","Corporate"
"1063","Toledo","Office Supplies","-$2","$10","Corporate"
"1064","Toledo","Office Supplies","$1","$8","Corporate"
"1065","Toledo","Technology","-$28","$119","Corporate"
"1066","Toledo","Office Supplies","$0","$1","Corporate"
"1067","Toledo","Office Supplies","-$46","$55","Corporate"
"1068","San Francisco","Furniture","$12","$195","Consumer"
"1069","Brownsville","Office Supplies","$0","$2","Consumer"
"1070","Philadelphia","Office Supplies","-$18","$25","Home Office"
"1071","Los Angeles","Office Supplies","$5","$19","Home Office"
"1072","Denver","Office Supplies","$10","$29","Home Office"
"1073","New York City","Office Supplies","$3","$9","Consumer"
"1074","Mesa","Office Supplies","-$5","$6","Consumer"
"1075","Mesa","Office Supplies","-$3","$4","Consumer"
"1076","Mesa","Technology","$2","$32","Consumer"
"1077","Columbus","Office Supplies","$11","$41","Home Office"
"1078","Seattle","Office Supplies","$34","$120","Consumer"
"1079","Seattle","Office Supplies","$8","$31","Consumer"
"1080","Seattle","Office Supplies","$2","$7","Consumer"
"1081","Detroit","Office Supplies","$9","$20","Corporate"
"1082","Detroit","Furniture","$122","$1,107","Corporate"
"1083","Yonkers","Furniture","-$265","$837","Consumer"
"1084","Yonkers","Office Supplies","$12","$26","Consumer"
"1085","Yonkers","Office Supplies","$105","$363","Consumer"
"1086","Yonkers","Technology","$2,401","$4,900","Consumer"
"1087","Des Moines","Office Supplies","$3","$6","Consumer"
"1088","Oakland","Technology","$7","$72","Corporate"
"1089","Oakland","Office Supplies","$2","$3","Corporate"
"1090","Monroe","Furniture","$2","$32","Corporate"
"1091","Monroe","Technology","$25","$72","Corporate"
"1092","San Diego","Office Supplies","$34","$120","Consumer"
"1093","San Diego","Technology","$19","$219","Consumer"
"1094","Clinton","Office Supplies","$14","$29","Home Office"
"1095","Clinton","Office Supplies","$103","$356","Home Office"
"1096","Charlotte","Office Supplies","$30","$348","Home Office"
"1097","Charlotte","Office Supplies","-$29","$36","Home Office"
"1098","Los Angeles","Furniture","$11","$448","Corporate"
"1099","San Francisco","Office Supplies","$2","$7","Home Office"
"1100","San Francisco","Furniture","$4","$9","Home Office"
"1101","San Francisco","Technology","$10","$29","Home Office"
"1102","San Francisco","Office Supplies","$3","$9","Home Office"
"1103","Houston","Office Supplies","-$5","$3","Consumer"
"1104","Houston","Office Supplies","-$5","$3","Consumer"
"1105","Riverside","Office Supplies","$11","$23","Consumer"
"1106","Houston","Office Supplies","-$16","$101","Consumer"
"1107","Houston","Furniture","-$1","$2","Consumer"
"1108","Houston","Office Supplies","-$17","$11","Consumer"
"1109","Houston","Office Supplies","$22","$58","Consumer"
"1110","Houston","Office Supplies","$14","$41","Consumer"
"1111","Houston","Technology","$25","$72","Consumer"
"1112","Houston","Office Supplies","$4","$10","Consumer"
"1113","Houston","Office Supplies","-$2","$1","Consumer"
"1114","Encinitas","Office Supplies","$16","$47","Consumer"
"1115","Encinitas","Furniture","-$13","$120","Consumer"
"1116","Encinitas","Technology","$58","$120","Consumer"
"1117","San Francisco","Office Supplies","$3","$6","Corporate"
"1118","Roswell","Office Supplies","$137","$280","Consumer"
"1119","Roswell","Technology","$112","$620","Consumer"
"1120","Roswell","Office Supplies","$2","$4","Consumer"
"1121","Roswell","Office Supplies","$7","$15","Consumer"
"1122","Jonesboro","Technology","$182","$700","Consumer"
"1123","Jonesboro","Office Supplies","$7","$23","Consumer"
"1124","Jonesboro","Furniture","$12","$39","Consumer"
"1125","Jonesboro","Office Supplies","$2","$7","Consumer"
"1126","Jonesboro","Office Supplies","$11","$23","Consumer"
"1127","Jonesboro","Furniture","$224","$1,068","Consumer"
"1128","Richmond","Office Supplies","$3","$10","Home Office"
"1129","Richmond","Office Supplies","$51","$102","Home Office"
"1130","Springfield","Furniture","$76","$344","Consumer"
"1131","Springfield","Office Supplies","$20","$41","Consumer"
"1132","Springfield","Office Supplies","$29","$64","Consumer"
"1133","Antioch","Office Supplies","$9","$19","Corporate"
"1134","Philadelphia","Office Supplies","-$23","$125","Home Office"
"1135","Philadelphia","Office Supplies","$3","$8","Home Office"
"1136","Homestead","Office Supplies","$7","$85","Consumer"
"1137","La Porte","Office Supplies","$129","$288","Corporate"
"1138","La Porte","Office Supplies","$11","$38","Corporate"
"1139","La Porte","Office Supplies","$9","$20","Corporate"
"1140","La Porte","Office Supplies","$6","$21","Corporate"
"1141","La Porte","Office Supplies","$9","$17","Corporate"
"1142","Los Angeles","Furniture","$53","$205","Consumer"
"1143","Los Angeles","Office Supplies","$3","$9","Consumer"
"1144","Los Angeles","Office Supplies","$3","$6","Consumer"
"1145","Los Angeles","Technology","$223","$686","Consumer"
"1146","Los Angeles","Office Supplies","$17","$62","Consumer"
"1147","Lansing","Office Supplies","$107","$644","Consumer"
"1148","Lansing","Office Supplies","$3","$6","Consumer"
"1149","Lansing","Office Supplies","$6","$13","Consumer"
"1150","Lansing","Technology","$0","$11","Consumer"
"1151","Lansing","Technology","$210","$600","Consumer"
"1152","Cuyahoga Falls","Furniture","$1","$8","Corporate"
"1153","Reno","Office Supplies","$2","$4","Corporate"
"1154","Reno","Office Supplies","$54","$160","Corporate"
"1155","Harrisonburg","Office Supplies","$0","$122","Home Office"
"1156","Harrisonburg","Furniture","$494","$2,244","Home Office"
"1157","Harrisonburg","Office Supplies","$29","$62","Home Office"
"1158","Harrisonburg","Furniture","$100","$455","Home Office"
"1159","Los Angeles","Furniture","$20","$195","Corporate"
"1160","Minneapolis","Office Supplies","$91","$363","Consumer"
"1161","Minneapolis","Office Supplies","$6","$12","Consumer"
"1162","Escondido","Office Supplies","$16","$54","Consumer"
"1163","New York City","Technology","$5","$10","Home Office"
"1164","New York City","Office Supplies","$41","$126","Home Office"
"1165","New York City","Office Supplies","$9","$25","Home Office"
"1166","Jackson","Office Supplies","$21","$47","Consumer"
"1167","Seattle","Technology","$49","$448","Consumer"
"1168","New York City","Furniture","$34","$109","Consumer"
"1169","New York City","Office Supplies","$0","$273","Consumer"
"1170","New York City","Office Supplies","$9","$19","Consumer"
"1171","New York City","Office Supplies","$8","$32","Consumer"
"1172","Royal Oak","Office Supplies","$11","$22","Consumer"
"1173","Los Angeles","Office Supplies","$6","$17","Consumer"
"1174","Bloomington","Office Supplies","-$8","$5","Consumer"
"1175","New York City","Office Supplies","$16","$50","Corporate"
"1176","Concord","Office Supplies","$8","$28","Home Office"
"1177","Los Angeles","Office Supplies","$5","$12","Home Office"
"1178","Rockville","Furniture","$52","$173","Consumer"
"1179","Rockville","Technology","$45","$180","Consumer"
"1180","Houston","Technology","$65","$259","Home Office"
"1181","Lakewood","Technology","$357","$1,323","Consumer"
"1182","Lakewood","Office Supplies","$1","$4","Consumer"
"1183","Jacksonville","Office Supplies","$7","$22","Consumer"
"1184","Jacksonville","Technology","$1","$8","Consumer"
"1185","Seattle","Office Supplies","$4","$12","Corporate"
"1186","Seattle","Office Supplies","$10","$486","Corporate"
"1187","Seattle","Office Supplies","$12","$26","Corporate"
"1188","Seattle","Office Supplies","$53","$198","Corporate"
"1189","Los Angeles","Office Supplies","$22","$82","Home Office"
"1190","Los Angeles","Technology","$67","$890","Home Office"
"1191","Los Angeles","Furniture","$89","$892","Home Office"
"1192","Los Angeles","Office Supplies","$110","$224","Home Office"
"1193","Los Angeles","Office Supplies","$11","$23","Home Office"
"1194","Coral Springs","Office Supplies","$5","$16","Corporate"
"1195","Coral Springs","Furniture","$3","$16","Corporate"
"1196","Coral Springs","Office Supplies","$2","$25","Corporate"
"1197","Coral Springs","Furniture","-$2","$56","Corporate"
"1198","Houston","Technology","$65","$432","Consumer"
"1199","Houston","Furniture","-$4","$96","Consumer"
"1200","Houston","Office Supplies","-$1,851","$1,089","Consumer"
"1201","Denver","Furniture","$41","$544","Corporate"
"1202","Denver","Office Supplies","-$1","$2","Corporate"
"1203","Denver","Furniture","$11","$854","Corporate"
"1204","Denver","Office Supplies","$0","$594","Corporate"
"1205","Denver","Office Supplies","-$34","$338","Corporate"
"1206","Charlotte","Technology","$17","$272","Consumer"
"1207","New York City","Office Supplies","$3","$11","Corporate"
"1208","New York City","Office Supplies","$3","$9","Corporate"
"1209","New York City","Office Supplies","$7","$14","Corporate"
"1210","New York City","Office Supplies","$10","$42","Corporate"
"1211","New York City","Office Supplies","$3","$9","Corporate"
"1212","New York City","Furniture","$22","$579","Corporate"
"1213","Philadelphia","Furniture","-$48","$141","Corporate"
"1214","Philadelphia","Office Supplies","-$2","$3","Corporate"
"1215","Philadelphia","Office Supplies","-$4","$5","Corporate"
"1216","Philadelphia","Office Supplies","$2","$5","Corporate"
"1217","Philadelphia","Technology","$29","$96","Corporate"
"1218","Philadelphia","Furniture","$2","$17","Corporate"
"1219","Philadelphia","Technology","$65","$259","Corporate"
"1220","Philadelphia","Technology","-$386","$1,932","Corporate"
"1221","Los Angeles","Office Supplies","$45","$250","Home Office"
"1222","Los Angeles","Technology","$29","$256","Home Office"
"1223","New York City","Furniture","$20","$114","Consumer"
"1224","New York City","Technology","$34","$78","Consumer"
"1225","New York City","Office Supplies","$1","$2","Consumer"
"1226","New York City","Office Supplies","$20","$41","Consumer"
"1227","New York City","Office Supplies","$4","$183","Consumer"
"1228","New York City","Office Supplies","$12","$194","Consumer"
"1229","Los Angeles","Office Supplies","$7","$15","Consumer"
"1230","Los Angeles","Furniture","$3","$9","Consumer"
"1231","Los Angeles","Office Supplies","$2","$6","Consumer"
"1232","Buffalo","Office Supplies","$1","$3","Consumer"
"1233","Buffalo","Office Supplies","$36","$80","Consumer"
"1234","Cincinnati","Technology","$70","$840","Corporate"
"1235","Boynton Beach","Furniture","$14","$48","Consumer"
"1236","Boynton Beach","Office Supplies","-$30","$37","Consumer"
"1237","Boynton Beach","Furniture","$0","$64","Consumer"
"1238","Boynton Beach","Furniture","$41","$165","Consumer"
"1239","Seattle","Furniture","$5","$12","Consumer"
"1240","Seattle","Office Supplies","$11","$41","Consumer"
"1241","Seattle","Office Supplies","$11","$23","Consumer"
"1242","New York City","Technology","$6","$22","Home Office"
"1243","New York City","Office Supplies","$124","$398","Consumer"
"1244","New York City","Office Supplies","$4","$9","Consumer"
"1245","Gulfport","Office Supplies","$24","$49","Consumer"
"1246","Fresno","Furniture","$96","$765","Consumer"
"1247","Fresno","Furniture","$135","$3,611","Consumer"
"1248","Fresno","Furniture","$12","$255","Consumer"
"1249","New York City","Office Supplies","$17","$39","Consumer"
"1250","New York City","Furniture","$140","$1,142","Consumer"
"1251","New York City","Office Supplies","$511","$1,705","Consumer"
"1252","New York City","Office Supplies","$1","$3","Consumer"
"1253","Milwaukee","Technology","$286","$1,100","Consumer"
"1254","Chester","Office Supplies","$1","$5","Home Office"
"1255","Chester","Technology","-$8","$36","Home Office"
"1256","Chester","Furniture","$1","$7","Home Office"
"1257","Chester","Furniture","$12","$44","Home Office"
"1258","Charlotte","Office Supplies","-$20","$28","Home Office"
"1259","Charlotte","Office Supplies","-$47","$540","Home Office"
"1260","Charlotte","Technology","$77","$256","Home Office"
"1261","Jacksonville","Technology","$108","$864","Consumer"
"1262","Greenville","Office Supplies","-$14","$18","Corporate"
"1263","Long Beach","Office Supplies","$6","$17","Consumer"
"1264","La Porte","Technology","$19","$70","Consumer"
"1265","La Porte","Furniture","$11","$42","Consumer"
"1266","San Francisco","Office Supplies","$2","$7","Consumer"
"1267","Los Angeles","Office Supplies","$41","$143","Corporate"
"1268","Los Angeles","Furniture","$18","$292","Corporate"
"1269","Louisville","Furniture","$4","$29","Corporate"
"1270","Florence","Office Supplies","$6","$12","Consumer"
"1271","Chicago","Office Supplies","-$13","$102","Corporate"
"1272","Chicago","Office Supplies","-$127","$49","Corporate"
"1273","Chicago","Office Supplies","-$67","$45","Corporate"
"1274","Fort Worth","Office Supplies","$4","$10","Consumer"
"1275","Fort Worth","Furniture","-$89","$388","Consumer"
"1276","Fort Worth","Office Supplies","$5","$14","Consumer"
"1277","Fort Worth","Technology","-$7","$64","Consumer"
"1278","Houston","Office Supplies","$5","$86","Consumer"
"1279","Macon","Technology","$13","$33","Corporate"
"1280","Macon","Technology","$30","$84","Corporate"
"1281","Cedar Rapids","Technology","$81","$278","Consumer"
"1282","Jacksonville","Office Supplies","$5","$15","Consumer"
"1283","Jacksonville","Office Supplies","-$13","$17","Consumer"
"1284","Jacksonville","Office Supplies","$88","$252","Consumer"
"1285","Austin","Office Supplies","-$5","$3","Consumer"
"1286","Providence","Office Supplies","$1","$15","Consumer"
"1287","New York City","Office Supplies","$4","$15","Home Office"
"1288","New York City","Furniture","$11","$40","Corporate"
"1289","New York City","Office Supplies","$4","$12","Corporate"
"1290","New York City","Office Supplies","$7","$21","Corporate"
"1291","San Francisco","Office Supplies","$4","$13","Home Office"
"1292","San Francisco","Office Supplies","$16","$32","Home Office"
"1293","San Diego","Office Supplies","$9","$33","Consumer"
"1294","San Diego","Office Supplies","$53","$114","Consumer"
"1295","San Diego","Office Supplies","$1","$3","Consumer"
"1296","Pueblo","Office Supplies","$85","$846","Consumer"
"1297","Fairfield","Office Supplies","$5","$14","Corporate"
"1298","Fairfield","Office Supplies","$6","$21","Corporate"
"1299","Saint Paul","Technology","$2","$115","Corporate"
"1300","San Francisco","Office Supplies","$7","$27","Consumer"
"1301","Springfield","Furniture","$166","$573","Consumer"
"1302","Springfield","Furniture","$83","$286","Consumer"
"1303","Arlington","Furniture","$4","$62","Home Office"
"1304","Columbus","Furniture","$6","$24","Consumer"
"1305","Columbus","Technology","$78","$288","Consumer"
"1306","Houston","Technology","$52","$420","Consumer"
"1307","Pasadena","Office Supplies","$22","$47","Consumer"
"1308","Pasadena","Office Supplies","$6","$18","Consumer"
"1309","Pasadena","Office Supplies","$6","$22","Consumer"
"1310","Pasadena","Office Supplies","$10","$162","Consumer"
"1311","Pasadena","Furniture","-$8","$162","Consumer"
"1312","Lawrence","Office Supplies","$2","$4","Consumer"
"1313","Lawrence","Office Supplies","$56","$122","Consumer"
"1314","Columbus","Furniture","-$13","$155","Consumer"
"1315","Los Angeles","Office Supplies","$19","$39","Corporate"
"1316","Los Angeles","Furniture","$63","$184","Corporate"
"1317","Los Angeles","Office Supplies","$29","$579","Corporate"
"1318","Philadelphia","Technology","$3","$14","Consumer"
"1319","Deltona","Technology","$72","$576","Corporate"
"1320","Deltona","Office Supplies","-$4","$5","Corporate"
"1321","Cincinnati","Office Supplies","-$4","$5","Consumer"
"1322","Cincinnati","Office Supplies","$36","$286","Consumer"
"1323","Murray","Office Supplies","$20","$73","Consumer"
"1324","Wilmington","Office Supplies","$4","$11","Consumer"
"1325","Lawrence","Office Supplies","$12","$46","Corporate"
"1326","Chicago","Office Supplies","-$31","$17","Consumer"
"1327","Philadelphia","Furniture","$5","$51","Home Office"
"1328","Norwich","Office Supplies","$6","$11","Corporate"
"1329","San Francisco","Office Supplies","$26","$88","Home Office"
"1330","San Francisco","Furniture","$16","$37","Consumer"
"1331","Lorain","Technology","-$1","$3","Home Office"
"1332","Lorain","Office Supplies","$2","$27","Home Office"
"1333","Dallas","Office Supplies","-$2","$1","Consumer"
"1334","Dallas","Office Supplies","-$14","$8","Consumer"
"1335","Los Angeles","Office Supplies","$53","$141","Home Office"
"1336","Middletown","Office Supplies","$0","$553","Consumer"
"1337","Los Angeles","Furniture","$7","$25","Consumer"
"1338","New York City","Furniture","$8","$30","Consumer"
"1339","New York City","Technology","$176","$678","Consumer"
"1340","New York City","Office Supplies","$36","$75","Consumer"
"1341","Jacksonville","Technology","-$28","$696","Corporate"
"1342","Jacksonville","Office Supplies","-$13","$16","Corporate"
"1343","Jacksonville","Office Supplies","-$21","$29","Corporate"
"1344","Freeport","Office Supplies","$14","$48","Consumer"
"1345","Freeport","Office Supplies","$6","$13","Consumer"
"1346","Lakeville","Office Supplies","$37","$94","Consumer"
"1347","Lakeville","Office Supplies","$24","$47","Consumer"
"1348","Lakeville","Office Supplies","$6","$20","Consumer"
"1349","Lakeville","Office Supplies","$25","$53","Consumer"
"1350","Lakeville","Office Supplies","$17","$36","Consumer"
"1351","Evanston","Furniture","-$70","$258","Consumer"
"1352","Arlington","Office Supplies","$8","$31","Corporate"
"1353","San Francisco","Technology","$21","$184","Corporate"
"1354","San Francisco","Office Supplies","$8","$18","Corporate"
"1355","San Francisco","Furniture","$11","$301","Corporate"
"1356","Houston","Office Supplies","-$44","$221","Consumer"
"1357","Houston","Office Supplies","-$35","$281","Consumer"
"1358","Louisville","Office Supplies","$36","$79","Consumer"
"1359","Fort Worth","Furniture","-$1","$2","Consumer"
"1360","Los Angeles","Furniture","$0","$146","Consumer"
"1361","Philadelphia","Office Supplies","$9","$123","Corporate"
"1362","Philadelphia","Office Supplies","$7","$24","Corporate"
"1363","Philadelphia","Technology","-$57","$310","Corporate"
"1364","Tucson","Office Supplies","-$26","$38","Corporate"
"1365","Tucson","Technology","-$64","$96","Corporate"
"1366","Tucson","Technology","-$36","$240","Corporate"
"1367","Tucson","Technology","$15","$202","Corporate"
"1368","Tucson","Furniture","-$146","$899","Corporate"
"1369","Pico Rivera","Furniture","$63","$146","Home Office"
"1370","Colorado Springs","Furniture","-$787","$590","Consumer"
"1371","Colorado Springs","Office Supplies","$2","$14","Consumer"
"1372","Clinton","Technology","$5","$49","Home Office"
"1373","Vallejo","Office Supplies","$15","$30","Consumer"
"1374","Vallejo","Office Supplies","$6","$17","Consumer"
"1375","Provo","Furniture","$119","$913","Consumer"
"1376","Pleasant Grove","Office Supplies","$305","$1,090","Consumer"
"1377","Pleasant Grove","Office Supplies","$219","$448","Consumer"
"1378","Pleasant Grove","Office Supplies","$4","$16","Consumer"
"1379","Pleasant Grove","Technology","$35","$400","Consumer"
"1380","Pleasant Grove","Office Supplies","$8","$159","Consumer"
"1381","Pleasant Grove","Office Supplies","$5","$13","Consumer"
"1382","Aurora","Furniture","-$90","$84","Home Office"
"1383","Smyrna","Office Supplies","$2","$81","Home Office"
"1384","Smyrna","Office Supplies","$171","$349","Home Office"
"1385","Smyrna","Office Supplies","$0","$9","Home Office"
"1386","Smyrna","Furniture","$7","$19","Home Office"
"1387","Smyrna","Furniture","$53","$240","Home Office"
"1388","Smyrna","Office Supplies","$79","$168","Home Office"
"1389","Smyrna","Technology","$28","$105","Home Office"
"1390","Smyrna","Technology","$126","$485","Home Office"
"1391","Smyrna","Office Supplies","$60","$123","Home Office"
"1392","Smyrna","Office Supplies","$2","$154","Home Office"
"1393","Smyrna","Office Supplies","$161","$342","Home Office"
"1394","Burlington","Office Supplies","$2","$10","Corporate"
"1395","Aurora","Furniture","-$431","$652","Corporate"
"1396","Aurora","Furniture","-$43","$67","Corporate"
"1397","New York City","Office Supplies","$6","$17","Consumer"
"1398","New York City","Office Supplies","$6","$12","Consumer"
"1399","New York City","Technology","$11","$88","Consumer"
"1400","New York City","Office Supplies","$3","$6","Consumer"
"1401","Salem","Technology","$6","$22","Home Office"
"1402","Salem","Office Supplies","$118","$252","Home Office"
"1403","Columbus","Furniture","-$58","$205","Home Office"
"1404","Columbus","Office Supplies","$147","$419","Home Office"
"1405","Philadelphia","Office Supplies","-$2","$10","Home Office"
"1406","Philadelphia","Furniture","-$36","$155","Home Office"
"1407","Philadelphia","Technology",NA,NA,NA
"1408","New York City","Office Supplies","$20","$75","Consumer"
"1409","New York City","Furniture","$10","$40","Consumer"
"1410","Phoenix","Furniture","-$204","$393","Consumer"
"1411","Grand Prairie","Office Supplies","$9","$24","Home Office"
"1412","New York City","Furniture","$73","$408","Corporate"
"1413","New York City","Furniture","$15","$165","Corporate"
"1414","New York City","Office Supplies","$109","$335","Consumer"
"1415","Costa Mesa","Technology","$26","$240","Home Office"
"1416","Costa Mesa","Furniture","$13","$38","Home Office"
"1417","Houston","Technology","$118","$946","Corporate"
"1418","Houston","Technology","$32","$151","Corporate"
"1419","Houston","Furniture","-$1","$5","Corporate"
"1420","Mesa","Office Supplies","$31","$86","Corporate"
"1421","Mesa","Office Supplies","-$48","$73","Corporate"
"1422","Mesa","Office Supplies","$14","$61","Corporate"
"1423","Mesa","Office Supplies","-$59","$77","Corporate"
"1424","Mesa","Office Supplies","-$1","$120","Corporate"
"1425","Mesa","Technology","$23","$264","Corporate"
"1426","Mesa","Office Supplies","-$86","$364","Corporate"
"1427","Salinas","Office Supplies","$3","$10","Corporate"
"1428","Salinas","Office Supplies","$7","$15","Corporate"
"1429","Salinas","Office Supplies","$9","$30","Corporate"
"1430","Salinas","Office Supplies","$197","$427","Corporate"
"1431","Columbus","Technology","-$40","$221","Consumer"
"1432","Florence","Office Supplies","$75","$153","Consumer"
"1433","Florence","Office Supplies","$2","$7","Consumer"
"1434","Florence","Furniture","$164","$1,820","Consumer"
"1435","Seattle","Office Supplies","$16","$34","Consumer"
"1436","Parma","Office Supplies","$11","$31","Consumer"
"1437","Parma","Office Supplies","$1","$5","Consumer"
"1438","Amarillo","Technology","$43","$264","Consumer"
"1439","Amarillo","Furniture","-$350","$2,453","Consumer"
"1440","Providence","Office Supplies","$13","$30","Consumer"
"1441","Providence","Office Supplies","$18","$40","Consumer"
"1442","San Francisco","Office Supplies","$11","$37","Consumer"
"1443","Richmond","Office Supplies","$6","$14","Corporate"
"1444","Aurora","Office Supplies","$17","$139","Corporate"
"1445","Chicago","Technology","$148","$1,980","Consumer"
"1446","Chicago","Office Supplies","-$39","$165","Home Office"
"1447","Chicago","Furniture","-$87","$470","Home Office"
"1448","Chicago","Technology","$6","$48","Home Office"
"1449","Philadelphia","Office Supplies","-$2","$3","Corporate"
"1450","Los Angeles","Technology","$11","$89","Corporate"
"1451","Phoenix","Office Supplies","-$1","$2","Consumer"
"1452","Mobile","Office Supplies","$35","$71","Corporate"
"1453","Mobile","Office Supplies","$46","$92","Corporate"
"1454","Mobile","Office Supplies","$17","$34","Corporate"
"1455","Mobile","Technology","$1,459","$3,040","Corporate"
"1456","Columbus","Office Supplies","$42","$91","Home Office"
"1457","Columbus","Furniture","$68","$453","Home Office"
"1458","New Bedford","Office Supplies","$23","$52","Corporate"
"1459","Irving","Office Supplies","$5","$16","Corporate"
"1460","Middletown","Furniture","$10","$27","Consumer"
"1461","Seattle","Office Supplies","$19","$55","Consumer"
"1462","Vineland","Furniture","-$31","$244","Consumer"
"1463","Pasadena","Technology","$44","$160","Corporate"
"1464","Pasadena","Furniture","-$29","$1,025","Corporate"
"1465","New York City","Office Supplies","$2","$4","Corporate"
"1466","Glendale","Furniture","-$3","$121","Consumer"
"1467","Glendale","Technology","-$11","$96","Consumer"
"1468","Jacksonville","Technology","$32","$256","Home Office"
"1469","Detroit","Furniture","$227","$873","Corporate"
"1470","Detroit","Office Supplies","$20","$42","Corporate"
"1471","Detroit","Office Supplies","$6","$13","Corporate"
"1472","Philadelphia","Office Supplies","$1","$7","Corporate"
"1473","Los Angeles","Office Supplies","$4","$9","Corporate"
"1474","Houston","Furniture","-$4","$7","Consumer"
"1475","Niagara Falls","Office Supplies","$5","$17","Home Office"
"1476","Niagara Falls","Office Supplies","$6","$18","Home Office"
"1477","New York City","Office Supplies","$13","$29","Home Office"
"1478","Thomasville","Office Supplies","$6","$52","Consumer"
"1479","Westminster","Technology","$2","$32","Consumer"
"1480","San Francisco","Office Supplies","$12","$26","Consumer"
"1481","San Francisco","Office Supplies","$20","$40","Consumer"
"1482","San Francisco","Office Supplies","$9","$34","Consumer"
"1483","Jackson","Office Supplies","$2","$10","Consumer"
"1484","Jackson","Office Supplies","$1","$3","Consumer"
"1485","Seattle","Technology","$30","$177","Corporate"
"1486","New York City","Office Supplies","$1","$4","Consumer"
"1487","Los Angeles","Technology","$106","$1,213","Home Office"
"1488","Los Angeles","Technology","$38","$90","Home Office"
"1489","Los Angeles","Furniture","$17","$43","Home Office"
"1490","Philadelphia","Office Supplies","$2","$5","Consumer"
"1491","New York City","Office Supplies","$28","$63","Corporate"
"1492","New York City","Office Supplies","$3","$6","Corporate"
"1493","New York City","Furniture","$174","$977","Corporate"
"1494","Vancouver","Furniture","$4","$10","Corporate"
"1495","Columbus","Office Supplies","$11","$40","Consumer"
"1496","Coppell","Office Supplies","$3","$10","Consumer"
"1497","Coppell","Office Supplies","$0","$17","Consumer"
"1498","Coppell","Office Supplies","$4","$13","Consumer"
"1499","San Francisco","Office Supplies","$7","$18","Home Office"
"1500","Austin","Office Supplies","$6","$16","Consumer"
"1501","Austin","Office Supplies","$70","$223","Consumer"
"1502","Austin","Office Supplies","-$47","$540","Consumer"
"1503","Los Angeles","Technology","$3","$34","Home Office"
"1504","Los Angeles","Furniture","$3","$10","Home Office"
"1505","Los Angeles","Office Supplies","$3","$7","Home Office"
"1506","Los Angeles","Furniture","-$176","$1,005","Home Office"
"1507","New York City","Office Supplies","$6","$18","Consumer"
"1508","Columbus","Technology","$190","$396","Consumer"
"1509","Omaha","Office Supplies","$16","$35","Home Office"
"1510","Los Angeles","Furniture","$3","$8","Consumer"
"1511","Pomona","Office Supplies","$112","$386","Corporate"
"1512","Pomona","Office Supplies","$12","$36","Corporate"
"1513","Dallas","Office Supplies","$13","$200","Consumer"
"1514","Dallas","Office Supplies","-$33","$21","Consumer"
"1515","Dallas","Office Supplies","-$11","$7","Consumer"
"1516","Philadelphia","Furniture","-$9","$64","Consumer"
"1517","North Las Vegas","Furniture","$117","$1,670","Consumer"
"1518","Seattle","Office Supplies","$27","$84","Consumer"
"1519","Seattle","Office Supplies","$4","$13","Consumer"
"1520","San Francisco","Office Supplies","$8","$21","Corporate"
"1521","Chicago","Office Supplies","$2","$17","Home Office"
"1522","Tucson","Furniture","$49","$206","Consumer"
"1523","Tucson","Office Supplies","$7","$20","Consumer"
"1524","Tucson","Office Supplies","$62","$198","Consumer"
"1525","Tucson","Office Supplies","-$59","$247","Consumer"
"1526","Tucson","Office Supplies","$10","$86","Consumer"
"1527","Allentown","Office Supplies","$0","$4","Consumer"
"1528","Allentown","Furniture","$3","$12","Consumer"
"1529","Newark","Office Supplies","$1","$26","Corporate"
"1530","Newark","Office Supplies","$3","$7","Corporate"
"1531","Miami","Office Supplies","$23","$74","Corporate"
"1532","Tempe","Office Supplies","$1","$11","Consumer"
"1533","Tempe","Office Supplies","$3","$8","Consumer"
"1534","New York City","Office Supplies","$0","$213","Corporate"
"1535","Laguna Niguel","Furniture","$17","$204","Home Office"
"1536","Bridgeton","Office Supplies","$0","$41","Corporate"
"1537","Bridgeton","Office Supplies","$3","$12","Corporate"
"1538","Everett","Technology","$12","$40","Consumer"
"1539","Everett","Office Supplies","$7","$16","Consumer"
"1540","Everett","Furniture","$204","$783","Consumer"
"1541","Everett","Office Supplies","$116","$242","Consumer"
"1542","Columbus","Furniture","$2","$8","Consumer"
"1543","Columbus","Office Supplies","$2","$10","Consumer"
"1544","San Diego","Office Supplies","$29","$83","Home Office"
"1545","San Diego","Office Supplies","$16","$34","Home Office"
"1546","Watertown","Furniture","$197","$1,573","Corporate"
"1547","San Antonio","Office Supplies","$117","$336","Corporate"
"1548","San Antonio","Office Supplies","-$41","$24","Corporate"
"1549","San Antonio","Office Supplies","$2","$27","Corporate"
"1550","New York City","Technology","$175","$560","Consumer"
"1551","Houston","Office Supplies","-$25","$9","Home Office"
"1552","San Diego","Office Supplies","$55","$112","Consumer"
"1553","Appleton","Office Supplies","$10","$22","Home Office"
"1554","Richmond","Office Supplies","$57","$125","Consumer"
"1555","Bellevue","Office Supplies","$2","$5","Corporate"
"1556","Long Beach","Technology","$40","$92","Consumer"
"1557","Philadelphia","Office Supplies","$4","$9","Consumer"
