"","City","Category","Profit","Sales","Segment","Order Date","Ship Date"
"2667","Amarillo","Technology","$21","$80","Consumer",2016-02-10,"42379"
"2668","Amarillo","Office Supplies","$10","$28","Consumer",2016-02-10,"42379"
"2669","Los Angeles","Furniture","$5","$41","Home Office",2015-02-08,"8/30/2015"
"2670","Los Angeles","Office Supplies","$30","$106","Home Office",2015-02-08,"8/30/2015"
"2671","Lowell","Office Supplies","$80","$166","Corporate",2014-02-09,"41982"
"2672","Lowell","Furniture","$212","$786","Corporate",2014-02-09,"41982"
"2673","Lowell","Office Supplies","$13","$26","Corporate",2014-02-09,"41982"
"2674","Lowell","Office Supplies","$239","$1,326","Corporate",2014-02-09,"41982"
"2675","San Diego","Office Supplies","$80","$166","Consumer",2017-02-12,"42806"
"2676","Asheville","Office Supplies","$1","$9","Consumer",2017-02-11,"42778"
"2677","Asheville","Office Supplies","$4","$44","Consumer",2017-02-11,"42778"
"2678","Pueblo","Office Supplies","-$8","$11","Consumer",2014-02-06,"6/21/2014"
"2679","Pueblo","Office Supplies","-$17","$25","Consumer",2014-02-06,"6/21/2014"
"2680","Jackson","Office Supplies","$7","$14","Home Office",2017-02-01,"1/27/2017"
"2681","Jackson","Technology","$112","$620","Home Office",2017-02-01,"1/27/2017"
"2682","Jackson","Office Supplies","$42","$90","Home Office",2017-02-01,"1/27/2017"
"2683","Jackson","Technology","$152","$351","Home Office",2017-02-01,"1/27/2017"
"2684","Jackson","Technology","$49","$165","Home Office",2017-02-01,"1/27/2017"
"2685","Los Angeles","Office Supplies","$102","$313","Consumer",2017-02-06,"42893"
"2686","Thomasville","Office Supplies","$30","$96","Consumer",2016-02-09,"42683"
"2687","Thomasville","Office Supplies","-$2","$3","Consumer",2016-02-09,"42683"
"2688","Peoria","Office Supplies","-$7","$4","Consumer",2016-02-08,"42498"
"2689","Los Angeles","Office Supplies","$7","$16","Corporate",2015-02-11,"11/14/2015"
"2690","Chicago","Office Supplies","$2","$5","Consumer",2014-02-06,"41677"
"2691","Philadelphia","Office Supplies","-$4","$5","Consumer",2017-02-12,"42959"
"2692","Englewood","Office Supplies","$6","$15","Consumer",2016-02-08,"42409"
"2693","Englewood","Technology","$8","$109","Consumer",2016-02-08,"42409"
"2694","Seattle","Furniture","$37","$110","Corporate",2016-02-01,"1/28/2016"
"2695","Hialeah","Furniture","$4","$15","Consumer",2014-02-10,"10/20/2014"
"2696","Lancaster","Office Supplies","$11","$30","Consumer",2016-02-02,"42615"
"2697","Jacksonville","Technology","-$16","$821","Home Office",2014-02-03,"3/23/2014"
"2698","Jacksonville","Technology","-$1,811","$22,638","Home Office",2014-02-03,"3/23/2014"
"2699","Jacksonville","Office Supplies","$7","$21","Home Office",2014-02-03,"3/23/2014"
"2700","Jacksonville","Office Supplies","$1","$8","Home Office",2014-02-03,"3/23/2014"
"2701","Jacksonville","Furniture","$8","$31","Home Office",2014-02-03,"3/23/2014"
"2702","Jacksonville","Office Supplies","$6","$19","Home Office",2014-02-03,"3/23/2014"
"2703","Jacksonville","Furniture","$15","$122","Home Office",2014-02-03,"3/23/2014"
"2704","Baltimore","Office Supplies","$57","$116","Consumer",2014-02-05,"5/30/2014"
"2705","New York City","Technology","$17","$133","Consumer",2017-02-07,"7/13/2017"
"2706","Carlsbad","Office Supplies","$4","$17","Home Office",2017-02-06,"6/21/2017"
"2707","Carlsbad","Office Supplies","$9","$19","Home Office",2017-02-06,"6/21/2017"
"2708","Carlsbad","Office Supplies","$92","$192","Home Office",2017-02-06,"6/21/2017"
"2709","Los Angeles","Furniture","$82","$227","Consumer",2015-02-01,"42157"
"2710","Los Angeles","Technology","$216","$1,920","Consumer",2015-02-01,"42157"
"2711","Jacksonville","Office Supplies","-$9","$13","Consumer",2015-02-12,"12/15/2015"
"2712","Lakewood","Furniture","$9","$46","Corporate",2017-02-10,"43049"
"2713","Troy","Office Supplies","$22","$60","Consumer",2017-02-07,"42743"
"2714","Wilmington","Technology","$38","$302","Consumer",2014-02-04,"4/29/2014"
"2715","Seattle","Office Supplies","$6","$14","Home Office",2015-02-12,"42167"
"2716","New York City","Technology","$62","$130","Corporate",2014-02-12,"41863"
"2717","Columbus","Technology","$15","$72","Home Office",2017-02-08,"42744"
"2718","New York City","Technology","$110","$378","Consumer",2014-02-09,"9/13/2014"
"2719","Costa Mesa","Office Supplies","$34","$124","Consumer",2017-02-12,"12/27/2017"
"2720","Houston","Furniture","-$14","$24","Consumer",2014-02-12,"41863"
"2721","Cary","Office Supplies","$3","$8","Corporate",2014-02-11,"41862"
"2722","Cary","Office Supplies","$5","$58","Corporate",2014-02-11,"41862"
"2723","Alexandria","Office Supplies","$12","$81","Consumer",2016-02-04,"4/19/2016"
"2724","Vallejo","Office Supplies","$7","$14","Consumer",2014-02-10,"41861"
"2725","Vallejo","Office Supplies","$31","$96","Consumer",2014-02-10,"41861"
"2726","Philadelphia","Technology","-$72","$360","Consumer",2017-02-11,"11/13/2017"
"2727","Philadelphia","Furniture","-$140","$350","Consumer",2017-02-11,"11/13/2017"
"2728","Toledo","Office Supplies","-$1","$2","Consumer",2017-02-12,"12/24/2017"
"2729","Toledo","Technology","$94","$630","Consumer",2017-02-12,"12/24/2017"
"2730","Seattle","Office Supplies","$2","$7","Consumer",2017-02-02,"2/19/2017"
"2731","Seattle","Technology","$344","$800","Consumer",2017-02-02,"2/19/2017"
"2732","Seattle","Furniture","$22","$108","Consumer",2017-02-02,"2/19/2017"
"2733","Plainfield","Technology","$20","$74","Consumer",2014-02-07,"41797"
"2734","Plainfield","Office Supplies","$2","$6","Consumer",2014-02-07,"41797"
"2735","Las Cruces","Office Supplies","$23","$49","Consumer",2015-02-02,"2/23/2015"
"2736","Newark","Technology","$94","$378","Consumer",2015-02-11,"11/19/2015"
"2737","Newark","Office Supplies","$20","$42","Consumer",2015-02-11,"11/19/2015"
"2738","Newark","Furniture","$57","$300","Consumer",2015-02-11,"11/19/2015"
"2739","Newark","Technology","$43","$90","Consumer",2015-02-11,"11/19/2015"
"2740","Hoover","Office Supplies","$10","$477","Corporate",2017-02-04,"4/18/2017"
"2741","Hoover","Technology","$2","$26","Corporate",2017-02-04,"4/18/2017"
"2742","Newark","Office Supplies","$18","$47","Consumer",2016-02-02,"2/27/2016"
"2743","San Diego","Furniture","$13","$35","Consumer",2014-02-11,"41862"
"2744","San Francisco","Furniture","$100","$258","Corporate",2015-02-06,"6/25/2015"
"2745","San Francisco","Technology","$47","$126","Corporate",2015-02-06,"6/25/2015"
"2746","Jacksonville","Technology","$22","$80","Consumer",2017-02-08,"43047"
"2747","Franklin","Furniture","-$130","$700","Consumer",2014-02-05,"5/17/2014"
"2748","Frisco","Technology","-$1","$27","Home Office",2015-02-11,"11/26/2015"
"2749","Tallahassee","Office Supplies","-$6","$8","Consumer",2015-02-12,"42228"
"2750","Seattle","Furniture","$73","$586","Consumer",2014-02-06,"6/14/2014"
"2751","Vacaville","Office Supplies","$110","$423","Consumer",2014-02-08,"41951"
"2752","Los Angeles","Furniture","$23","$225","Consumer",2014-02-05,"5/30/2014"
"2753","San Francisco","Office Supplies","$2","$6","Consumer",2015-02-04,"4/21/2015"
"2754","San Francisco","Technology","$129","$323","Consumer",2015-02-04,"4/21/2015"
"2755","San Francisco","Technology","$69","$784","Consumer",2015-02-04,"4/21/2015"
"2756","San Francisco","Office Supplies","$420","$1,448","Consumer",2015-02-04,"4/21/2015"
"2757","San Francisco","Office Supplies","$6","$12","Consumer",2015-02-04,"4/21/2015"
"2758","New York City","Technology","$72","$240","Consumer",2016-02-06,"6/13/2016"
"2759","Columbus","Furniture","$32","$77","Home Office",2016-02-03,"3/15/2016"
"2760","Columbus","Office Supplies","$125","$481","Home Office",2016-02-03,"3/15/2016"
"2761","Murray","Office Supplies","$23","$48","Home Office",2014-02-05,"5/29/2014"
"2762","San Francisco","Technology","$0","$1","Home Office",2017-02-10,"10/14/2017"
"2763","San Francisco","Office Supplies","$37","$102","Home Office",2017-02-10,"10/14/2017"
"2764","Philadelphia","Office Supplies","-$8","$10","Home Office",2017-02-06,"6/28/2017"
"2765","Philadelphia","Office Supplies","-$24","$31","Home Office",2017-02-06,"6/28/2017"
"2766","Philadelphia","Office Supplies","$1","$9","Home Office",2017-02-06,"6/28/2017"
"2767","Philadelphia","Office Supplies","$4","$34","Consumer",2017-02-01,"1/18/2017"
"2768","Philadelphia","Office Supplies","$313","$1,924","Consumer",2017-02-01,"1/18/2017"
"2769","Dallas","Office Supplies","-$80","$32","Consumer",2015-02-04,"42189"
"2770","Dallas","Technology","-$1","$50","Consumer",2015-02-04,"42189"
"2771","Dallas","Technology","$2","$48","Consumer",2015-02-04,"42189"
"2772","Waukesha","Office Supplies","$14","$55","Consumer",2016-02-09,"42652"
"2773","Fort Lauderdale","Furniture","$6","$19","Consumer",2017-02-12,"43081"
"2774","Detroit","Office Supplies","$24","$49","Consumer",2016-02-11,"11/26/2016"
"2775","Springfield","Office Supplies","$4","$10","Home Office",2017-02-11,"11/18/2017"
"2776","San Diego","Office Supplies","$2","$154","Consumer",2016-02-10,"10/25/2016"
"2777","Colorado Springs","Office Supplies","$5","$61","Corporate",2015-02-12,"12/25/2015"
"2778","Bakersfield","Furniture","-$14","$195","Consumer",2015-02-07,"7/19/2015"
"2779","Pompano Beach","Furniture","$6","$24","Corporate",2017-02-04,"42860"
"2780","Pompano Beach","Technology","$1","$2","Corporate",2017-02-04,"42860"
"2781","New York City","Office Supplies","$30","$59","Consumer",2017-02-05,"42952"
"2782","Lakeville","Office Supplies","$10","$22","Consumer",2017-02-11,"11/27/2017"
"2783","Detroit","Technology","$75","$258","Consumer",2016-02-11,"11/16/2016"
"2784","Philadelphia","Technology","-$16","$24","Corporate",2016-02-11,"42654"
"2785","Troy","Technology","-$16","$24","Corporate",2016-02-10,"10/15/2016"
"2786","Los Angeles","Furniture","$0","$602","Home Office",2015-02-09,"9/23/2015"
"2787","Los Angeles","Office Supplies","$3","$8","Home Office",2015-02-09,"9/23/2015"
"2788","Corpus Christi","Furniture","-$25","$58","Corporate",2014-02-12,"41802"
"2789","Corpus Christi","Office Supplies","$1","$16","Corporate",2014-02-12,"41802"
"2790","Corpus Christi","Furniture","-$24","$40","Corporate",2014-02-12,"41802"
"2791","Omaha","Office Supplies","$8","$26","Corporate",2014-02-09,"9/22/2014"
"2792","Omaha","Office Supplies","$11","$36","Corporate",2014-02-09,"9/22/2014"
"2793","Omaha","Office Supplies","$3","$6","Corporate",2014-02-09,"9/22/2014"
"2794","Redondo Beach","Technology","$94","$1,075","Corporate",2014-02-04,"4/17/2014"
"2795","Redondo Beach","Technology","$38","$438","Corporate",2014-02-04,"4/17/2014"
"2796","Redondo Beach","Office Supplies","$7","$18","Corporate",2014-02-04,"4/17/2014"
"2797","Redondo Beach","Furniture","-$18","$308","Corporate",2014-02-04,"4/17/2014"
"2798","Little Rock","Office Supplies","$4","$13","Consumer",2017-02-10,"10/27/2017"
"2799","Little Rock","Office Supplies","$19","$40","Consumer",2017-02-10,"10/27/2017"
"2800","Little Rock","Office Supplies","$70","$146","Consumer",2017-02-10,"10/27/2017"
"2801","Miami","Technology","$78","$784","Corporate",2016-02-10,"10/28/2016"
"2802","Salem","Office Supplies","$2","$8","Consumer",2015-02-11,"42105"
"2803","Las Cruces","Furniture","$17","$41","Consumer",2017-02-11,"42958"
"2804","San Francisco","Office Supplies","$6","$13","Consumer",2015-02-05,"5/16/2015"
"2805","San Francisco","Office Supplies","$12","$26","Consumer",2015-02-05,"5/16/2015"
"2806","El Paso","Furniture","-$2","$48","Consumer",2015-02-09,"42317"
"2807","Seattle","Office Supplies","$0","$9","Consumer",2015-02-07,"7/27/2015"
"2808","Seattle","Office Supplies","$6","$13","Consumer",2015-02-07,"7/27/2015"
"2809","Seattle","Furniture","$56","$705","Consumer",2015-02-07,"7/27/2015"
"2810","Seattle","Furniture","$28","$562","Consumer",2015-02-07,"7/27/2015"
"2811","Milwaukee","Office Supplies","$85","$180","Home Office",2015-02-11,"11/18/2015"
"2812","Milwaukee","Furniture","$76","$186","Home Office",2015-02-11,"11/18/2015"
"2813","Milwaukee","Furniture","$36","$214","Home Office",2015-02-11,"11/18/2015"
"2814","Milwaukee","Technology","$230","$1,000","Home Office",2015-02-11,"11/18/2015"
"2815","Milwaukee","Furniture","$111","$654","Home Office",2015-02-11,"11/18/2015"
"2816","Franklin","Office Supplies","$52","$115","Home Office",2015-02-09,"42225"
"2817","Franklin","Furniture","$15","$61","Home Office",2015-02-09,"42225"
"2818","Franklin","Furniture","$27","$124","Home Office",2015-02-09,"42225"
"2819","Franklin","Office Supplies","$316","$1,089","Home Office",2015-02-09,"42225"
"2820","Encinitas","Office Supplies","$2","$7","Consumer",2016-02-05,"42587"
"2821","Encinitas","Furniture","$7","$299","Consumer",2016-02-05,"42587"
"2822","Anaheim","Technology","$23","$302","Consumer",2016-02-12,"42856"
"2823","Arlington","Office Supplies","$1","$9","Consumer",2017-02-09,"9/20/2017"
"2824","Arlington","Office Supplies","-$3","$48","Consumer",2017-02-09,"9/20/2017"
"2825","Houston","Office Supplies","$11","$34","Home Office",2014-02-09,"9/30/2014"
"2826","Houston","Furniture","-$97","$301","Home Office",2014-02-09,"9/30/2014"
"2827","Houston","Office Supplies","-$4","$3","Home Office",2014-02-09,"9/30/2014"
"2828","Houston","Office Supplies","$1","$3","Home Office",2014-02-09,"9/30/2014"
"2829","Lancaster","Office Supplies","$38","$108","Consumer",2016-02-04,"4/26/2016"
"2830","Lancaster","Office Supplies","$6","$56","Consumer",2016-02-04,"4/26/2016"
"2831","Lancaster","Office Supplies","$29","$78","Consumer",2016-02-04,"4/26/2016"
"2832","Portland","Office Supplies","-$94","$444","Consumer",2014-02-11,"41770"
"2833","Portland","Technology","$55","$156","Consumer",2014-02-11,"41770"
"2834","Hoover","Office Supplies","$4","$15","Corporate",2017-02-01,"1/31/2017"
"2835","Hoover","Office Supplies","$3","$7","Corporate",2017-02-01,"1/31/2017"
"2836","Los Angeles","Office Supplies","$3","$11","Consumer",2017-02-11,"11/16/2017"
"2837","Los Angeles","Office Supplies","$9","$19","Consumer",2017-02-11,"11/16/2017"
"2838","Los Angeles","Office Supplies","$40","$122","Consumer",2017-02-11,"11/16/2017"
"2839","Tallahassee","Technology","-$28","$696","Consumer",2016-02-06,"42710"
"2840","New York City","Office Supplies","$31","$120","Corporate",2015-02-09,"42225"
"2841","Chesapeake","Furniture","$285","$1,140","Home Office",2014-02-03,"3/19/2014"
"2842","Fayetteville","Office Supplies","$83","$230","Consumer",2017-02-08,"42834"
"2843","Huntsville","Office Supplies","-$32","$144","Consumer",2017-02-03,"3/27/2017"
"2844","Philadelphia","Technology","-$1","$36","Consumer",2017-02-05,"5/22/2017"
"2845","Woodstock","Furniture","-$12","$845","Corporate",2016-02-12,"12/31/2016"
"2846","Everett","Office Supplies","$14","$51","Consumer",2017-02-11,"11/20/2017"
"2847","Chicago","Office Supplies","-$1,144","$763","Home Office",2017-02-09,"9/15/2017"
"2848","Roswell","Furniture","$16","$56","Corporate",2017-02-04,"4/15/2017"
"2849","Roswell","Office Supplies","$1,265","$2,691","Corporate",2017-02-04,"4/15/2017"
"2850","Palm Coast","Office Supplies","-$6","$7","Corporate",2016-02-11,"42441"
"2851","Philadelphia","Office Supplies","-$13","$65","Corporate",2016-02-06,"42496"
"2852","Columbus","Office Supplies","$13","$28","Home Office",2017-02-12,"12/22/2017"
"2853","Oceanside","Furniture","$7","$15","Consumer",2016-02-03,"3/21/2016"
"2854","Oceanside","Furniture","$7","$20","Consumer",2016-02-03,"3/21/2016"
"2855","Franklin","Office Supplies","$10","$40","Corporate",2017-02-08,"8/20/2017"
"2856","Sioux Falls","Office Supplies","$10","$20","Consumer",2017-02-07,"7/31/2017"
"2857","San Diego","Furniture","$100","$1,603","Corporate",2016-02-08,"8/29/2016"
"2858","Fayetteville","Furniture","$23","$225","Consumer",2016-02-08,"8/17/2016"
"2859","Atlanta","Technology","$4","$68","Consumer",2017-02-05,"5/23/2017"
"2860","Atlanta","Technology","$98","$378","Consumer",2017-02-05,"5/23/2017"
"2861","Atlanta","Furniture","$375","$1,629","Consumer",2017-02-05,"5/23/2017"
"2862","Atlanta","Office Supplies","$141","$287","Consumer",2017-02-05,"5/23/2017"
"2863","Orlando","Office Supplies","$7","$21","Consumer",2017-02-08,"8/17/2017"
"2864","San Francisco","Office Supplies","$8","$31","Consumer",2017-02-08,"8/13/2017"
"2865","San Francisco","Office Supplies","$23","$84","Consumer",2017-02-08,"8/13/2017"
"2866","San Francisco","Office Supplies","$15","$60","Consumer",2017-02-08,"8/13/2017"
"2867","San Francisco","Office Supplies","$9","$32","Consumer",2017-02-08,"8/13/2017"
"2868","Toledo","Office Supplies","-$3","$15","Consumer",2016-02-11,"42715"
"2869","Toledo","Office Supplies","-$2","$39","Consumer",2016-02-11,"42715"
"2870","Saint Petersburg","Furniture","$1","$17","Consumer",2017-02-06,"6/19/2017"
"2871","Tucson","Office Supplies","$23","$74","Corporate",2014-02-03,"3/26/2014"
"2872","Tucson","Furniture","-$35","$314","Corporate",2014-02-03,"3/26/2014"
"2873","Los Angeles","Office Supplies","$2","$4","Consumer",2017-02-06,"6/20/2017"
"2874","San Diego","Office Supplies","$24","$811","Consumer",2017-02-11,"11/22/2017"
"2875","New York City","Office Supplies","$3","$6","Consumer",2017-02-12,"12/31/2017"
"2876","San Diego","Furniture","-$6","$154","Consumer",2016-02-01,"1/23/2016"
"2877","San Diego","Furniture","$76","$1,013","Consumer",2016-02-01,"1/23/2016"
"2878","Westfield","Office Supplies","$25","$52","Home Office",2016-02-01,"1/19/2016"
"2879","Westfield","Office Supplies","$1","$5","Home Office",2016-02-01,"1/19/2016"
"2880","Westfield","Technology","$92","$255","Home Office",2016-02-01,"1/19/2016"
"2881","Orange","Office Supplies","$13","$25","Home Office",2016-02-09,"9/23/2016"
"2882","Orange","Office Supplies","$8","$28","Home Office",2016-02-09,"9/23/2016"
"2883","Woodstock","Office Supplies","-$14","$9","Consumer",2014-02-02,"2/25/2014"
"2884","San Francisco","Furniture","$2","$7","Consumer",2016-02-11,"11/16/2016"
"2885","San Francisco","Office Supplies","$6","$17","Consumer",2016-02-01,"42431"
"2886","Tempe","Furniture","-$35","$308","Consumer",2016-02-10,"10/22/2016"
"2887","Los Angeles","Office Supplies","$2","$7","Consumer",2017-02-12,"12/19/2017"
"2888","Los Angeles","Office Supplies","$6","$13","Consumer",2017-02-12,"12/19/2017"
"2889","Los Angeles","Office Supplies","$16","$32","Consumer",2017-02-12,"12/19/2017"
"2890","Seattle","Office Supplies","$11","$24","Corporate",2017-02-11,"42897"
"2891","Lake Charles","Furniture","$13","$52","Consumer",2014-02-04,"41644"
"2892","Lake Charles","Office Supplies","$9","$18","Consumer",2014-02-04,"41644"
"2893","Rochester","Office Supplies","$6","$12","Corporate",2017-02-10,"10/29/2017"
"2894","Rochester","Office Supplies","$12","$26","Corporate",2017-02-10,"10/29/2017"
"2895","Rochester","Furniture","$29","$69","Corporate",2017-02-10,"10/29/2017"
"2896","Rochester","Technology","$10","$36","Corporate",2017-02-10,"10/29/2017"
"2897","Long Beach","Office Supplies","$21","$50","Consumer",2014-02-03,"41702"
"2898","Charlotte","Technology","$120","$960","Corporate",2016-02-01,"42614"
"2899","Houston","Furniture","-$6","$408","Consumer",2015-02-04,"4/30/2015"
"2900","New York City","Technology","$60","$480","Consumer",2015-02-09,"9/17/2015"
"2901","New York City","Office Supplies","$6","$13","Consumer",2015-02-09,"9/17/2015"
"2902","Columbus","Office Supplies","$85","$185","Home Office",2017-02-09,"9/15/2017"
"2903","Chicago","Office Supplies","$8","$23","Consumer",2016-02-06,"6/17/2016"
"2904","Highland Park","Office Supplies","$12","$37","Corporate",2016-02-06,"42376"
"2905","Highland Park","Furniture","-$8","$540","Corporate",2016-02-06,"42376"
"2906","Seattle","Office Supplies","$81","$310","Home Office",2014-02-09,"9/30/2014"
"2907","Eagan","Office Supplies","$4","$9","Consumer",2017-02-11,"42989"
"2908","Eagan","Office Supplies","$14","$52","Consumer",2017-02-11,"42989"
"2909","Eagan","Office Supplies","$7","$15","Consumer",2017-02-11,"42989"
"2910","Seattle","Office Supplies","$0","$11","Consumer",2017-02-02,"2/23/2017"
"2911","Coral Springs","Office Supplies","$24","$387","Consumer",2015-02-11,"42258"
"2912","Hempstead","Office Supplies","$19","$41","Consumer",2014-02-06,"6/21/2014"
"2913","Hempstead","Office Supplies","$11","$35","Consumer",2014-02-06,"6/21/2014"
"2914","Hempstead","Office Supplies","$14","$40","Consumer",2014-02-06,"6/21/2014"
"2915","Noblesville","Technology","$35","$136","Consumer",2015-02-10,"10/17/2015"
"2916","Noblesville","Office Supplies","$6","$13","Consumer",2015-02-10,"10/17/2015"
"2917","Noblesville","Technology","$71","$264","Consumer",2015-02-10,"10/17/2015"
"2918","Dallas","Office Supplies","$0","$6","Consumer",2017-02-08,"8/30/2017"
"2919","Philadelphia","Office Supplies","$2","$16","Corporate",2016-02-11,"11/23/2016"
"2920","Philadelphia","Furniture","$4","$14","Corporate",2016-02-11,"11/23/2016"
"2921","Philadelphia","Furniture","$12","$70","Corporate",2016-02-11,"11/23/2016"
"2922","San Francisco","Office Supplies","$6","$129","Consumer",2017-02-01,"1/30/2017"
"2923","Austin","Office Supplies","-$6","$4","Home Office",2015-02-11,"42075"
"2924","Detroit","Office Supplies","$3","$6","Corporate",2014-02-06,"41736"
"2925","Watertown","Office Supplies","$9","$20","Consumer",2014-02-09,"41768"
"2926","Watertown","Furniture","$5","$71","Consumer",2014-02-09,"41768"
"2927","Columbus","Furniture","$8","$19","Consumer",2017-02-07,"7/14/2017"
"2928","Apple Valley","Office Supplies","$3","$9","Consumer",2017-02-06,"43014"
"2929","Burlington","Office Supplies","-$1,307","$1,633","Home Office",2017-02-10,"10/26/2017"
"2930","Saginaw","Furniture","$8","$20","Home Office",2017-02-11,"11/24/2017"
"2931","San Francisco","Office Supplies","$2","$7","Consumer",2015-02-08,"42224"
"2932","San Francisco","Office Supplies","$3","$7","Consumer",2015-02-08,"42224"
"2933","San Francisco","Furniture","$11","$145","Consumer",2015-02-08,"42224"
"2934","Seattle","Technology","$14","$157","Consumer",2016-02-12,"42716"
"2935","Seattle","Technology","$27","$432","Consumer",2016-02-12,"42716"
"2936","Seattle","Office Supplies","$16","$36","Consumer",2016-02-12,"42716"
"2937","Seattle","Office Supplies","$15","$47","Consumer",2016-02-12,"42716"
"2938","Seattle","Office Supplies","$117","$248","Consumer",2016-02-12,"42716"
"2939","Seattle","Office Supplies","$89","$190","Consumer",2016-02-12,"42716"
"2940","Seattle","Office Supplies","$19","$60","Consumer",2016-02-12,"42716"
"2941","Milwaukee","Furniture","$15","$91","Corporate",2017-02-03,"3/31/2017"
"2942","Milwaukee","Furniture","$427","$1,527","Corporate",2017-02-03,"3/31/2017"
"2943","Milwaukee","Furniture","$41","$369","Corporate",2017-02-03,"3/31/2017"
"2944","Los Angeles","Office Supplies","$76","$305","Consumer",2017-02-11,"11/24/2017"
"2945","Los Angeles","Furniture","$7","$19","Consumer",2017-02-11,"11/24/2017"
"2946","San Francisco","Furniture","$16","$38","Consumer",2016-02-11,"42501"
"2947","San Diego","Furniture","$11","$26","Home Office",2017-02-12,"12/18/2017"
"2948","San Diego","Office Supplies","$23","$65","Home Office",2017-02-12,"12/18/2017"
"2949","San Diego","Office Supplies","$21","$44","Home Office",2017-02-12,"12/18/2017"
"2950","Glendale","Technology","$13","$42","Home Office",2017-02-11,"43080"
"2951","Glendale","Office Supplies","$8","$23","Home Office",2017-02-11,"43080"
"2952","Glendale","Furniture","$10","$114","Home Office",2017-02-11,"43080"
"2953","Glendale","Furniture","-$6","$114","Home Office",2017-02-11,"43080"
"2954","Glendale","Technology","$1","$8","Home Office",2017-02-11,"43080"
"2955","Glendale","Technology","$50","$672","Home Office",2017-02-11,"43080"
"2956","New York City","Technology","$12","$40","Corporate",2016-02-08,"8/24/2016"
"2957","Watertown","Furniture","$32","$192","Home Office",2017-02-06,"42832"
"2958","Springfield","Office Supplies","-$2","$2","Consumer",2017-02-05,"42983"
"2959","Los Angeles","Office Supplies","$7","$20","Consumer",2015-02-12,"12/29/2015"
"2960","Los Angeles","Office Supplies","$22","$46","Consumer",2015-02-12,"12/29/2015"
"2961","Seattle","Office Supplies","$9","$20","Home Office",2017-02-04,"42740"
"2962","Seattle","Office Supplies","$19","$39","Home Office",2017-02-04,"42740"
"2963","Oceanside","Furniture","$9","$82","Corporate",2017-02-12,"12/21/2017"
"2964","Oceanside","Furniture","$6","$97","Corporate",2017-02-12,"12/21/2017"
"2965","Oceanside","Office Supplies","$8","$24","Corporate",2017-02-12,"12/21/2017"
"2966","Oceanside","Furniture","$8","$19","Corporate",2017-02-12,"12/21/2017"
"2967","Skokie","Furniture","-$20","$33","Consumer",2014-02-12,"12/31/2014"
"2968","Skokie","Office Supplies","$3","$30","Consumer",2014-02-12,"12/31/2014"
"2969","Fayetteville","Office Supplies","$44","$500","Consumer",2017-02-11,"42989"
"2970","Fayetteville","Office Supplies","$11","$31","Consumer",2017-02-11,"42989"
"2971","Fayetteville","Office Supplies","-$11","$13","Consumer",2017-02-11,"42989"
"2972","Fayetteville","Furniture","$6","$28","Consumer",2017-02-11,"42989"
"2973","Fayetteville","Office Supplies","-$52","$259","Consumer",2017-02-11,"42989"
"2974","Tulsa","Office Supplies","$5","$11","Consumer",2017-02-12,"12/20/2017"
"2975","Allen","Furniture","-$31","$244","Consumer",2015-02-05,"42343"
"2976","Allen","Office Supplies","$5","$16","Consumer",2015-02-05,"42343"
"2977","Philadelphia","Furniture","-$3","$189","Corporate",2017-02-12,"42837"
"2978","Rochester","Office Supplies","$6","$23","Consumer",2017-02-10,"42957"
"2979","Mount Pleasant","Furniture","$87","$546","Consumer",2014-02-01,"1/16/2014"
"2980","Philadelphia","Office Supplies","$7","$21","Consumer",2015-02-06,"6/17/2015"
"2981","Philadelphia","Furniture","$4","$43","Consumer",2015-02-06,"6/17/2015"
"2982","Seattle","Furniture","$14","$123","Consumer",2014-02-07,"7/18/2014"
"2983","Seattle","Office Supplies","$4","$11","Consumer",2014-02-07,"7/18/2014"
"2984","Springfield","Office Supplies","$5","$53","Consumer",2014-02-12,"41955"
"2985","Springfield","Furniture","-$171","$275","Consumer",2014-02-12,"41955"
"2986","Columbus","Furniture","$6","$25","Home Office",2016-02-05,"5/30/2016"
"2987","Columbus","Office Supplies","$9","$19","Home Office",2016-02-05,"5/30/2016"
"2988","Columbus","Office Supplies","$152","$1,268","Home Office",2016-02-05,"5/30/2016"
"2989","Los Angeles","Technology","$1","$13","Corporate",2016-02-02,"2/26/2016"
"2990","Los Angeles","Office Supplies","$6","$19","Corporate",2016-02-02,"2/26/2016"
"2991","Los Angeles","Office Supplies","$9","$449","Corporate",2016-02-02,"2/26/2016"
"2992","Los Angeles","Office Supplies","$11","$31","Corporate",2016-02-02,"2/26/2016"
"2993","New York City","Office Supplies","$17","$61","Corporate",2016-02-10,"42531"
"2994","Detroit","Office Supplies","$421","$896","Consumer",2017-02-03,"3/17/2017"
"2995","Stockton","Office Supplies","$19","$55","Consumer",2016-02-09,"9/13/2016"
"2996","Phoenix","Office Supplies","$6","$56","Consumer",2014-02-07,"7/21/2014"
"2997","Philadelphia","Office Supplies","$8","$25","Consumer",2014-02-06,"6/25/2014"
"2998","Philadelphia","Furniture","$1","$4","Consumer",2014-02-06,"6/25/2014"
"2999","Philadelphia","Technology","$29","$96","Consumer",2014-02-06,"6/25/2014"
"3000","Philadelphia","Technology","-$172","$207","Consumer",2014-02-06,"6/25/2014"
"3001","Philadelphia","Office Supplies","$4","$44","Consumer",2014-02-06,"6/25/2014"
